First name,Surname,ID number,Institution,Department,Email address,Quiz: 01 Introductory Exercise (Real),Quiz: 02 Units & Measurement (Real),Quiz: 03 MSDS for Benzoic Acid (Real),Quiz: 04a Moles & Molarity (Real),Quiz: 06 Concentrations (Real),Assignment 2.2 (Disabled): ChemCollective Exercise 2 Write-Up Submission (Real),Quiz: Exam 2 (Real),Quiz: 04b Chemcollective Moles (Real),Quiz: 05 Dilutions (Real),Quiz: Exam 1 (Real),Quiz: 07 Measurement (Real),Last downloaded from this course
aa,bb,X00146610,SC,SCIE,cc,100,45,-,-,-,,-,-,-,-,-,1508919450
aa,bb,X00149226,SC,SCIE,cc,-,0,-,-,-,,-,-,-,-,-,1508919450
aa,bb,X00081136,SC,SCIE,cc,100,85,100,-,-,,-,-,-,-,-,1508919450
aa,bb,X00148566,SC,SCIE,cc,100,85,100,80,-,,-,-,-,-,-,1508919450
aa,bb,X00147732,SC,SCIE,cc,100,40,65,30,-,,-,-,-,-,-,1508919450
aa,bb,X00146652,SC,SCIE,cc,100,90,65,-,-,,-,-,-,-,-,1508919450
aa,bb,X00145289,SC,SCIE,cc,100,70,85,70,-,,-,-,-,-,-,1508919450
aa,bb,X00147770,SC,SCIE,cc,-,35,-,-,-,,-,-,-,-,-,1508919450
aa,bb,X00137120,SC,SCIE,cc,90,75,80,50,-,,-,-,-,-,-,1508919450
aa,bb,X00148056,SC,SCIE,cc,60,55,95,50,-,,-,-,-,-,-,1508919450
aa,bb,X00145947,SC,SCIE,cc,100,95,80,90,-,,-,-,-,-,-,1508919450
aa,bb,X00147055,SC,SCIE,cc,100,65,95,-,-,,-,-,-,-,-,1508919450
aa,bb,X00147717,SC,SCIE,cc,100,95,90,-,-,,-,-,-,-,-,1508919450
aa,bb,X00148198,SC,SCIE,cc,40,45,55,50,-,,-,-,-,-,-,1508919450
aa,bb,X00146401,SC,SCIE,cc,80,75,70,50,-,,-,-,-,-,-,1508919450
aa,bb,X00150069,SC,SCIE,cc,70,60,50,-,-,,-,-,-,-,-,1508919450
aa,bb,X00144413,SC,SCIE,cc,90,65,80,10,-,,-,-,-,-,-,1508919450
aa,bb,X00145156,SC,SCIE,cc,100,60,70,-,-,,-,-,-,-,-,1508919450
aa,bb,X00149571,SC,SCIE,cc,90,80,80,-,-,,-,-,-,-,-,1508919450
aa,bb,X00139236,SC,SCIE,cc,100,70,65,-,-,,-,-,-,-,-,1508919450
aa,bb,X00139764,SC,SCIE,cc,100,95,95,50,-,,-,-,-,-,-,1508919450
aa,bb,X00141582,SC,SCIE,cc,100,70,90,60,-,,-,-,-,-,-,1508919450
aa,bb,X00147696,SC,SCIE,cc,80,95,95,-,-,,-,-,-,-,-,1508919450
aa,bb,X00127960,SC,SCIE,cc,100,90,100,-,-,,-,-,-,-,-,1508919450
aa,bb,X00145271,SC,SCIE,cc,100,95,100,-,-,,-,-,-,-,-,1508919450
aa,bb,X00147191,SC,SCIE,cc,90,85,80,-,-,,-,-,-,-,-,1508919450
aa,bb,X00149588,SC,SCIE,cc,100,75,100,100,-,,-,-,-,-,-,1508919450
aa,bb,X00145670,,,cc,100,40,80,-,-,,-,-,-,-,-,1508919450
aa,bb,X00149955,SC,SCIE,cc,100,100,95,-,-,,-,-,-,-,-,1508919450
aa,bb,X00146454,SC,SCIE,cc,100,45,100,-,-,,-,-,-,-,-,1508919450
aa,bb,X00150042,SC,SCIE,cc,100,95,100,-,-,,-,-,-,-,-,1508919450
aa,bb,X00144678,SC,SCIE,cc,80,75,85,70,-,,-,-,-,-,-,1508919450
